groupId,artifactId,latest description,earliest release (real) date,latest release (real) date
com.sap.cds,cds-services-archetype,Maven Archetype to initialize a CDS Java project using best practices,20190905Z,20200706Z
com.sap.cloud.gw.xsa,java-maven-arch-odata,Java Tools - Maven Archetype - OData,20190920Z,20190920Z
com.sap.cloud.mkt,mkt-kyma-spring,Spring Boot based starter project for Kyma Deployment,20181122Z,20190522Z
com.sap.cloud.mkt,ymkt-cf-spring,Spring Boot based starter project for Cloud Foundry Platform,20181122Z,20190522Z
com.sap.cloud.s4hana.archetypes,scp-cf-spring,Archetype for a Spring-based project on SAP Cloud Platform (Cloud Foundry).,20170913Z,20200213Z
com.sap.cloud.s4hana.archetypes,scp-cf-tomcat,Archetype for a Tomcat-based project on SAP Cloud Platform (Cloud Foundry).,20170913Z,20200213Z
com.sap.cloud.s4hana.archetypes,scp-cf-tomee,Archetype for a TomEE-based project on SAP Cloud Platform (Cloud Foundry).,20170913Z,20200213Z
com.sap.cloud.s4hana.archetypes,scp-neo-javaee6,Archetype for a project based on Java EE 6 on SAP Cloud Platform (Neo).,20170914Z,20180511Z
com.sap.cloud.s4hana.archetypes,scp-neo-javaee7,Archetype for a project based on Java EE 7 on SAP Cloud Platform (Neo).,20180117Z,20200213Z
com.sap.cloud.s4hana.starters,scp-neo-javaee6,Starter for a project based on Java EE 6 on SAP Cloud Platform (Neo).,20170913Z,20171012Z
com.sap.cloud.sdk.archetypes,scp-cf-spring,Archetype for a Spring-based project on SAP Cloud Platform (Cloud Foundry).,20190801Z,20200707Z
com.sap.cloud.sdk.archetypes,scp-cf-tomee,Archetype for a TomEE-based project on SAP Cloud Platform (Cloud Foundry).,20190801Z,20200707Z
com.sap.cloud.sdk.archetypes,scp-neo-javaee7,Archetype for a project based on Java EE 7 on SAP Cloud Platform (Neo).,20190801Z,20200707Z
com.sap.cloud.servicesdk.archetypes,cloud-servicesdk-odatav4-quickstart,SAP Cloud Platform SDK for service development,20170905Z,20200709Z
com.sap.cloud.servicesdk.archetypes,cloud-servicesdk-odatav4-sample,SAP Cloud Platform SDK for service development,20170905Z,20171220Z
com.sap.cloud.servicesdk.archetypes,odata2-cdx,SAP Cloud Platform SDK for service development,20170905Z,20171220Z
com.sap.cloud.servicesdk.archetypes,odatav2,Develop OData V2 services with SAP Cloud Platform SDK for service development,20180216Z,20200709Z
com.sap.cloud.servicesdk.archetypes,odatav4,Develop OData V4 services with SAP Cloud Platform SDK for service development,20180216Z,20200709Z
com.sap.cloud.servicesdk.archetypes,odatav4-sample,Contains a sample OData V4 service that mashes up data from OData V2 and HANA for your reference,20180216Z,20200709Z
com.sap.cloud.servicesdk.prov,odatav2,SAP Cloud Platform SDK for service development,20170905Z,20200709Z
com.sap.cloud.yaas.service-sdk,service-sdk-jersey-spring-archetype,hybris maven archetype for a basic YaaS Service,20150831Z,20171026Z
com.sap.cloud.yaas.service-sdk,service-sdk-jersey-spring-base-archetype,hybris maven archetype for a basic YaaS Service,20170118Z,20171026Z
com.sap.cloud.yaas.service-sdk,service-sdk-spring-boot-archetype,hybris maven archetype for a basic Spring Boot YaaS Service,20170412Z,20171026Z
com.saucelabs,quickstart-seleniumrc-junit,,20140903Z,20181011Z
com.saucelabs,quickstart-seleniumrc-testng,,20140903Z,20181011Z
com.saucelabs,quickstart-webdriver-junit,,20140903Z,20181011Z
com.saucelabs,quickstart-webdriver-testng,,20140903Z,20181011Z
com.sdl.delivery.ish,dd-webapp-archetype,Example web application for DITA Delivery,20170421Z,20180518Z
com.sdl.dxa,dxa-webapp-archetype,Example web application for DXA,20160215Z,20200323Z
com.sdl.tridion.connectorframework,tcf-archetype,Archetype to create SDL Tridion connectors,20200305Z,20200310Z
com.seismicgames,jersey-swagger-archetype,A Jersey/Swagger/Grizzly RESTful API Archetype,20170205Z,20170810Z
com.sencha.gxt.archetypes,gxt-basic-support-4x-archetype,Very basic GXT maven setup,20190213Z,20190213Z
com.sencha.gxt.archetypes,gxt-theme-40x-archetype,GXT project with custom theme setup,20190213Z,20190213Z
com.shedhack.tool,spring-boost,Maven Archetype to generate a Spring Boot Application,20150714Z,20190122Z
com.shinitech.djammadev,djamma-archetype,,20190703Z,20190703Z
com.sibvisions.jvx,jvxapplication-archetype,A preconfigured setup for a JVx application,20130203Z,20180119Z
com.singingbush,quick-java-archetype,Creates a new project with slf4j & log4j2,20181013Z,20181013Z
com.sinnerschrader.aem.react,aem-project-archetype,React AEM archetype. Fork of AEM multi-module archetype.,20161016Z,20170301Z
com.sirolf2009,javafx-xtend-archetype,An archetype for building javafx apps with XTend,20190219Z,20190219Z
com.sitture,fitnesse-quickstart,An archetype that can be used to generate a Maven based FitNesse project.,20170221Z,20180511Z
com.sixdimensions.wcm.cq,cq-deploy-plugin,Maven plugin for automating code deployments to Adobe CQ.,20120424Z,20121218Z
com.sixsq.slipstream,slipstream-module,,20120123Z,20120127Z
com.smb-tec.xo.archetypes,xo-neo4j-quickstart,Creates a skeleton for an XO application using the Neo4j graph database backend.,20140407Z,20140528Z
com.sourcesense.solr,solr-multicore-archetype,,20110111Z,20110319Z
com.sourcesense.solr,solr-standalone-archetype,,20110111Z,20110319Z
com.speedment,speedment-archetype-basic,,20150908Z,20151218Z
com.speedment,speedment-archetype-mariadb,,20160411Z,20160826Z
com.speedment,speedment-archetype-mysql,,20160411Z,20160826Z
com.speedment,speedment-archetype-postgresql,,20160411Z,20160826Z
com.speedment.archetypes,speedment-archetype-mariadb,,20160830Z,20180510Z
com.speedment.archetypes,speedment-archetype-mysql,,20160830Z,20180510Z
com.speedment.archetypes,speedment-archetype-postgresql,,20160830Z,20180510Z
com.springer,omelet-archetype,static file generator for omelet,20150114Z,20160610Z
com.springer,omelet-archetype-simple,Automation library for Selenium built on top of TestNg,20141201Z,20141201Z
com.strategicgains.archetype,restexpress-cassandra,"A Basic, Cassandra-backed Service Suite",20140124Z,20160210Z
com.strategicgains.archetype,restexpress-minimal,A Minimal RestExpress Server,20140124Z,20160210Z
com.strategicgains.archetype,restexpress-mongodb,"A Basic, MongoDB-backed Service Suite",20140124Z,20160210Z
com.strategicgains.archetype,restexpress-scaffold-minimal,A Minimal RestExpress Server,20130117Z,20131016Z
com.strategicgains.archetype,restexpress-scaffold-mongodb,"A Basic, MongoDB-backed Service Suite",20130117Z,20131016Z
com.streamsets,streamsets-datacollector-stage-lib-tutorial,StreamSets Stage Library Archetype,20150923Z,20200522Z
com.streamsets.datacollector.archetype,stage-lib,StreamSets Stage Library Archetype,20150922Z,20150922Z
com.sun.faces,faces-2.1-test-war-archetype,"Archetype to create automated test based on JSF 2.1",20130711Z,20130711Z
com.sun.faces,faces-2.2-test-war-archetype,"Create a JSF 2.2 vanilla app.",20130711Z,20131009Z
com.sun.faces.regression,i_jsf_XXXX-archetype,,20110504Z,20110504Z
com.sun.faces.test,i_jsf_xxxx_htmlunit-archetype,,20110512Z,20110512Z
com.sun.jersey.archetypes,jersey-quickstart-ejb,"An archetype which contains a simple Jersey based EJB project.",20110826Z,20170524Z
com.sun.jersey.archetypes,jersey-quickstart-grizzly,"An archetype which contains a quickstart Jersey project based on Grizzly container.",20110826Z,20170524Z
com.sun.jersey.archetypes,jersey-quickstart-grizzly2,"An archetype which contains a quickstart Jersey project based on Grizzly2 container.",20110826Z,20170524Z
com.sun.jersey.archetypes,jersey-quickstart-webapp,"An archetype which contains a sample Jersey based Webapp project.",20110826Z,20170524Z
com.sun.mep,mep-connector-archetype-rar,Maven archetype to create a RAR-based connector for the Sun GlassFish Mobility Platform version 1.1_01.,20100520Z,20100520Z
com.sun.mep,mep-connector-jaxrs-archetype-rar,Maven archetype to create a JAXRS-based connector for the Sun GlassFish Mobility Platform version 1.1_01.,20100520Z,20100520Z
com.sun.mep,mep-connector-jaxws-archetype-rar,Maven archetype to create a JAXWS-based connector for the Sun GlassFish Mobility Platform version 1.1_01.,20100520Z,20100520Z
com.surenpi.autotest,autotest.web.framework.archetype,WebUI自动化测试框架骨架,20170504Z,20190119Z
com.taobao.itest,itest-sample-s30-archetype,,20110816Z,20110816Z
com.tealcube.minecraft.bukkit,bukkit-plugin-archetype,A Bukkit plugin archetype for Teal Cube plugins and libraries.,20150627Z,20150627Z
com.techempower,gemini-resin-archetype,"An archetype project for building Gemini applications.",20180511Z,20200625Z
com.tectonica,gae-jersey-guice-archetype,"Maven archetype for generating skeleton Google-App-engine application that uses Jersey, Jackson and Guice",20141017Z,20141025Z
com.thepracticaldeveloper,archetype-java-basic-tpd,"A basic Java Archetype for Java 1.8 and 9. It contains some
        commonly-used test libraries and creates an executable JAR file by default.",20180205Z,20180205Z
com.thesett.archetype,dropwizard_archetype,Archetype for setting up a DropWizard codegen project.,20160613Z,20161102Z
com.thetachain,theta-chain-module,This Archetype is a fast and simple way to setup a Theta-Chain development environment.,20170818Z,20170818Z
com.thoughtworks.gauge.maven,gauge-archetype-java,Archetype for Gauge Java,20160114Z,20200527Z
com.thoughtworks.gauge.maven,gauge-archetype-selenium,Archetype for Gauge Java with Selenium,20160114Z,20200527Z
com.thoughtworks.gauge.maven,gauge-maven-plugin,A maven plugin to execute gauge specs in the project,20150415Z,20200416Z
com.tqlab.sense,tqlab-sense-archetype,tqlab sense archetype,20120704Z,20120704Z
com.tvd12,ezyfox-server-archetype,"An archetype which contains an ezyfox-server sample",20191116Z,20200120Z
com.tvd12,ezyfox-sfs2x-archetype,"Support to create smartfox game application project (use ezyfox) quickly",20160909Z,20170315Z
com.tvd12,maven-simple-archetype,"An archetype which supports to create a maven project quickly",20170614Z,20190729Z
com.udaan.archetypes,dropwizard-kotlin,Maven archetype for Kotlin based Dropwizard applications,20171122Z,20180729Z
com.unboundid,server-sdk-archetype,"A Maven archetype that can generate a project for building an
    UnboundID Server SDK extension bundle.",20161003Z,20170707Z
com.upcwangying.cloud.samples,samples-parent-archetype,Spring Cloud Samples Archetype,20200529Z,20200622Z
com.vaadin,vaadin-archetype-addon,"This archetype generates a multi-module Vaadin add-on project for Vaadin 6.5+ with a test/demo application and a documentation module.
      Packaging the add-on as ZIP is supported.",20110428Z,20110510Z
com.vaadin,vaadin-archetype-application,"This archetype creates a Vaadin Java application for basic
        servlet container and can be used as a project base.",20120914Z,20200706Z
com.vaadin,vaadin-archetype-application-example,"This archetype generates a sample Vaadin application as a multi-module Maven project.",20141217Z,20200702Z
com.vaadin,vaadin-archetype-application-multimodule,"This archetype generates the skeleton for a multi-module Vaadin application.
      For a full example project, see vaadin-archetype-application-example.",20150129Z,20200702Z
com.vaadin,vaadin-archetype-clean,"This archetype generates a simple Vaadin application as a Maven project.
      No custom widgetset is included.",20091217Z,20120808Z
com.vaadin,vaadin-archetype-jpacontainer,"This archetype generates a simple Vaadin application using JPAContainer as a Maven project.",20111129Z,20120117Z
com.vaadin,vaadin-archetype-liferay-portlet,"This archetype generates a Liferay portlet plugin project that relies on the Vaadin bundles being installed on the portal server.

    The result of the maven build is an OSGi bundle that can be installed on a Liferay 7+ server. The Vaadin integration handles the registration of the annotated UI as a Portlet.",20140521Z,20200702Z
com.vaadin,vaadin-archetype-portlet,"This archetype creates a simple porlet with required Vaadin dependencies. In addition to standard JSR 286 configurations the archetype also adds liferay specific configuration files, but they shoudn't affect other portals.",20120222Z,20120222Z
com.vaadin,vaadin-archetype-sample,"This archetype generates a Vaadin application as a Maven project.
      The application contains a custom GWT widgetset that is compiled
      by the GWT compiler and integrated into the project as part of the
      build process. The application is based on the Vaadin Color Picker
      Demo application available at http://vaadin.com.",20090828Z,20120808Z
com.vaadin,vaadin-archetype-touchkit,"Generates a simple Vaadin application using TouchKit.",20110922Z,20140917Z
com.vaadin,vaadin-archetype-widget,"This archetype generates a Vaadin 7 widget project and a related demo application.",20091217Z,20200702Z
com.vaadin,vaadin-maven-plugin,,20091218Z,20200713Z
com.vaadin.polymer,gwt-pwa-archetype,GWT-2.8.0 project with Polymer and PWA service worker,20161112Z,20161207Z
com.vaadin.wscdn,wscdn-archetype,cdn.virit.in project archetype,20151123Z,20151202Z
com.vasiliyspodin,j8-minimal,Minimal Java 8 Maven Archetype,20170217Z,20170217Z
com.vaushell,archetype-exec,archetype for an executable (not a library),20131213Z,20131213Z
com.vaushell,archetype-library,archetype for a library (not an executable),20131213Z,20131217Z
com.vektorsoft.demux.tools,demux-android-archetype,Create Android application structure for DEMUX Framework applications,20130601Z,20140201Z
com.vektorsoft.demux.tools,demux-android-bundle-archetype,Create OSGI bundle for DEMUX Android projects,20140119Z,20140201Z
com.vektorsoft.demux.tools,demux-bundle-archetype,Create application bundles for DEMUX Framework applications,20130522Z,20140218Z
com.vektorsoft.demux.tools,demux-jfx-archetype,Create JavaFX desktop application structure for DEMUX Framework applications,20130522Z,20140318Z
com.vilt-group.minium,minium-script-cucumber-archetype,,20140720Z,20141207Z
com.vilt-group.minium,minium-script-jasmine-archetype,,20140720Z,20141207Z
com.vip.pallas,pallas-plugin-archetype,,20190507Z,20190806Z
com.vlkan,vanilla-jaxrs-service-api-archetype,Archetype for creating a microservice API using vanilla JAX-RS.,20160110Z,20160110Z
com.vlkan,vanilla-jaxrs-service-archetype,Archetype for creating a microservice using vanilla JAX-RS.,20160110Z,20160110Z
com.vmware.xenon,xenon-quickstart,,20170215Z,20191219Z
com.wadpam.gaelic,gaelic-archetype-starter,,20130517Z,20130725Z
com.wandrell.archetype,library,A Maven archetype to ease the creation of new libraries.,20150624Z,20150624Z
com.wandrell.archetypes,library,A Maven archetype to ease the creation of new libraries.,20150809Z,20150809Z
com.wandrell.maven.archetypes,library,A Maven archetype to ease the creation of new libraries.,20150809Z,20150910Z
com.wandrell.maven.archetypes,library-archetype,A Maven Archetype to ease the creation of new Java libraries.,20151019Z,20171119Z
com.wandrell.maven.archetypes,spring-mvc-thymeleaf-archetype,"A Maven Archetype for Spring MVC, and Thymeleaf, projects.",20170818Z,20171119Z
com.webcohesion.enunciate,enunciate-simple-archetype,,20150916Z,20191014Z
com.weibo,motan-core,,20160421Z,20200326Z
com.wiley,teasy-template-archetype,Maven archetype for Teasy framework template,20170714Z,20171012Z
com.willowtreeapps,oak-archetype,,20120622Z,20150731Z
com.willowtreeapps,oak-dagger-api15-archetype,,20140110Z,20150731Z
com.willowtreeapps,oak-dagger-archetype,,20131007Z,20150731Z
com.willowtreeapps,oak-gradle-archetype,,20140425Z,20150731Z
com.willwinder,javalin-java-archetype,Simple archetype to setup a javalin project,20180423Z,20180423Z
com.willwinder,javalin-kotlin-archetype,Simple archetype to setup a javalin project using Kotlin,20180423Z,20180423Z
com.wixct,jfinal-spring-boot-quickstart,Archetype for creating Spring Boot Jfinal application,20180802Z,20180805Z
com.wordpress.javaenterprise7,MinimumHelloWorld-archetype,"Minimal archetype for a Java EE 7 application",20141123Z,20141123Z
com.xtivia.tools,xsf_sample_app-archetype,XTIVIA Services Framework,20151003Z,20151027Z
com.yoctopuce.archetype,commandline,Simple commandline example with Yoctoupce library,20160316Z,20160316Z
com.zanclus,spock-bootstrap,Maven archetype for getting started using SpockFramework for testing,20160209Z,20160209Z
com.zanclus.codepalousa,deltaspike-restlet-archetype,A Maven Archetype for generating a basic ReSTlet Application stub which can then be expanded,20150306Z,20150307Z
com.zanclus.codepalousa,restlet-deltaspike-raml-archetype,"A Maven Archetype for generating a simple Restlet application which can produce it's own RAML documentation 
    based on the content of the code contained therein. It also sets up and uses Apache DeltaSpike for dependency
    injection. The version tracks the version of the Restlet Framework being used.",20150423Z,20150429Z
com.zanclus.codepalousa,vertx-java-archetype,A Maven Archetype for generating a basic Vert.x 3.0.0 Java project,20150506Z,20161117Z
com.zanclus.codepalousa,vertx-js-archetype,A Maven Archetype for generating a basic Vert.x 3.0.0 JavaScript project,20150415Z,20161117Z
com.zanclus.vertx,vertx-groovy-archetype,A Maven Archetype for generating a basic Vert.x ${project.version}Java project,20170127Z,20170127Z
com.zenjava,javafx-basic-archetype,"The JavaFX Basic Archetype provides core functionality for assembling JavaFX applications.",20121119Z,20151009Z
com.zenjava,javafx-rest-archetype,"The JavaFX Basic Archetype provides a Maven archetype for generating a basic JavaFX REST client-server starter
        project.",20121203Z,20151010Z
de.adorsys.xs2a.adapter,maven-adapter-archetype,,20190808Z,20200710Z
de.akquinet.android.archetypes,android-gcm-quickstart,Creates a skeleton for a GCM Android application,20130417Z,20140220Z
de.akquinet.android.archetypes,android-library-quickstart,Creates a skeleton for an Android library,20121220Z,20140220Z
de.akquinet.android.archetypes,android-quickstart,Creates a skeleton for an Android application,20101206Z,20140220Z
de.akquinet.android.archetypes,android-release,"Creates a skeleton for an Android application,
    instrumentation tests and ready-to-publish application on releases.",20110110Z,20140220Z
de.akquinet.android.archetypes,android-with-test,Creates a skeleton for an Android application and instrumentation tests,20101206Z,20140220Z
de.akquinet.android.archetypes,stand-archetype,Creates a skeleton for an Android application using the Stand framework stack,20130515Z,20130515Z
de.akquinet.chameria,chameria-quickstart-archetype,,20110419Z,20110419Z
de.akquinet.javascript.archetypes,javascript-jqueryplugin,Creates a skeleton for an Javascript jquery plugin,20110211Z,20110211Z
de.akquinet.javascript.archetypes,javascript-quickstart,Creates a skeleton for an Javascript application,20110211Z,20110211Z
de.akquinet.jbosscc,jbosscc-javaee6-modular-ear-archetype,Maven Archetype to generate a modular Java EE 6 based project skeleton.,20120219Z,20120219Z
de.akquinet.jbosscc,jbosscc-seam-archetype,Maven Archetype to generate a Seam Application - running on JBoss AS7,20120222Z,20121128Z
de.averbis.textanalysis,pear-archetype,Template to create PEAR packaged UIMA annotators in Java,20190614Z,20200113Z
de.averbis.textanalysis,ruta-pear-archetype,Template to create PEAR packaged UIMA Ruta annotators,20190204Z,20200113Z
de.bitgrip.archetypes,spring-boot-service,"An archetype which generates a complete spring-boot-service with an RESTFUL api with dummy implementation.
    Each application layer is
    Additionally creates an FeignClient coupled to the API of the service, which clients could use.
    Check https://github.com/bitgrip/spring-boot-archetype",20190816Z,20190816Z
de.bmiag.tapir,tapir-bootstrap-archetype,tapir Bootstrap Archetype,20180220Z,20200604Z
de.bmiag.tapir,tapir-module-archetype,tapir Module Archetype,20180220Z,20200604Z
de.bripkens,java-quickstart,"Java quickstart archetype with some common libs",20140504Z,20140530Z
de.cologneintelligence,archetype-fitgoodies-quickstart,Archetype which generates an FitGoodies-enabled example project,20111111Z,20160630Z
de.crowdcode.kissmda.maven,kissmda-maven-app-archetype,,20121124Z,20170831Z
de.crowdcode.kissmda.maven,kissmda-maven-cartridge-archetype,,20121124Z,20170831Z
de.cubeisland.maven.archetypes,archetype-cubeengine-module,This archetype generates a new module for the Cube Engine.,20131105Z,20140529Z
de.cwkr,webapp-quickstart-archetype,Simple Webapp using scriptless JSP and Servlet API,20190529Z,20190529Z
de.dailab,jiac-agent-config-temp,,20140418Z,20140418Z
de.dailab,jiac-config-temp,"Creates a jiac agent project, with spring-config templates for an agent and an agent bean",20140422Z,20140422Z
de.dailab,jiac-empty,Creates a empty jiac project. POM only,20140418Z,20140422Z
de.dailab,jiac-jsw,"Creates a runnable agent, which can used as system service/daemon",20140418Z,20140422Z
de.dailab,jiac-multi-module,Creates jiac multi module project with api and domain module,20140418Z,20140422Z
de.dplatz,jee-maven-archetype,Quickstart Java EE development,20180709Z,20180709Z
de.erdlet.archetypes,jakartaee8-mvc-archetype,"Archetype for basic Jakarta EE 8 App with MVC API and Eclipse Krazo",20191027Z,20200204Z
de.hansche,vaadin-jee7-webapp-archetype,Maven archetype for Java EE-based Vaadin projects,20161023Z,20180210Z
de.holisticon.archetypes,java-library,Please refer to https://github.com/holisticon/java-library-archetype.,20130530Z,20130611Z
de.julielab,jcore-ae-archetype,An archetype to quickly create new JCoRe UIMA analysis engines.,20180810Z,20200513Z
de.julielab,jcore-cc-archetype,An archetype to quickly create new JCoRe UIMA CAS consumers.,20180810Z,20200513Z
de.julielab,jcore-cr-archetype,An archetype to quickly create new JCoRe UIMA collection reader.,20180810Z,20200513Z
de.katerkamp.szoo,styles-factory-archetype,"Archetype to create a custom Style Factory Maven Project.
		The factory collects and assembles styles from Google fonts,
		Zurb Foundation etc.",20171102Z,20171102Z
de.kaufhof.ets,ets-archetypes-application,Archetype for new ETS standard application,20180705Z,20180705Z
de.kaufhof.ets,ets-archetypes-library,Archetype for new ETS library,20180705Z,20180705Z
de.lars-sh,parent-archetype,This archetype package creates a new Maven project consisting of nothing more than a pom.xml file referencing the parent POM project,20190506Z,20200702Z
de.learnlib.archetypes,basic,"Archetype for a basic LearnLib setup, including the most commonly used dependencies",20180208Z,20200206Z
de.learnlib.archetypes,complete,Archetype which includes all LearnLib dependencies,20130625Z,20200206Z
de.learnlib.archetypes,core,Archetype providing dependencies for core functionalities of LearnLib,20130625Z,20150604Z
de.learnlib.archetypes,typical,"Archetype for a typical LearnLib setup, including the most commonly used dependencies",20130625Z,20150604Z
de.lebeig.dev,process-app-archetype,Maven archetype for creating process applications based on a base skeleton.,20200326Z,20200327Z
de.quantummaid.tutorials.archetypes,basic-archetype,,20200312Z,20200703Z
de.rieckpil.archetypes,jakartaee8,Maven Archetype for bootstrapping Jakarta EE 8 applications,20191024Z,20200701Z
de.rieckpil.archetypes,javaee8,Maven Archetype for bootstrapping Java EE 8 applications,20181005Z,20200701Z
de.rieckpil.archetypes,javaee8-jsf,Maven Archetype for bootstrapping Java EE 8 JSF applications,20181222Z,20200701Z
de.saumya.mojo,rails-maven-archetype,archetype to mavenize an existing rails 2.3.x or rails3 application,20100406Z,20110601Z
de.saxsys,mvvmFX-archetype,"An maven archetype to create an example application with mvvmFX",20141028Z,20141028Z
de.saxsys,mvvmfx-archetype,"An maven archetype to create an example application with mvvmFX",20141212Z,20190308Z
de.schlichtherle,javafx-scala-demo,"An archetype for a standalone JavaFX 2.0 application written in Scala.
The generated application is translated from the Colorful Circles demo from the
JavaFX 2.0 SDK.",20110921Z,20111004Z
de.schlichtherle.truezip,truezip-archetype-file,TrueZIP File* module application - requires JSE 6.,20110508Z,20160807Z
de.schlichtherle.truezip,truezip-archetype-path,TrueZIP Path module application - requires JSE 7.,20110610Z,20160807Z
de.slothsoft.challenger,mapbased-archetype,,20190302Z,20190302Z
de.svenkubiak,mangooio-maven-archetype,,20150611Z,20150710Z
de.svenkubiak,ninja-simple-archetype,"This is a archetype for a simple Ninja Web Framework project. It is based on the servlet archetype, but with some minor modifications",20150226Z,20150226Z
de.taimos,archetype-lambda,Maven archetype for an AWS lambda function written in Java,20160624Z,20160624Z
de.taimos,dvalin-archetype-basic,Maven archetype for a basic dvalin project,20160509Z,20200105Z
de.taimos,dvalin-archetype-docker,Maven archetype for a docker based dvalin project,20160509Z,20200105Z
de.tebros,simple-maven-archetype,This is a archetype for a simple maven project with JUnit 5 and Log4j 2,20181108Z,20190314Z
de.terrestris,shogun-core-webapp-archetype,,20190517Z,20200715Z
de.terrestris,shogun2-webapp-archetype,,20160111Z,20190508Z
de.whisperedshouts,iiq-webapp-archetype,This archetype may be used to create a webapp based on SailPoint IdentityIQ.,20150324Z,20170429Z
design.aem,aemdesign-archetype,AEM.Design project archetype.,20200208Z,20200411Z
dev.galasa,galasa-demo-archetype,,20191129Z,20200630Z
dev.qinx,scala-archetype,"An up-to-date Maven Archetype for Scala",20200526Z,20200527Z
dk.jacobve.maven.archetypes,maven-archetype-flex,"An archetype which contains a sample Maven Flex project using the israfil maven plugin",20071101Z,20071101Z
dk.navicon,valkyrie-rcp-archetype,"Archetype for creating new Valkyrie projects.",20130408Z,20140819Z
dk.sublife.docker-integration,docker-integration-archetype,,20151027Z,20160105Z
dk.swissarmyronin,guava-lombok-mockito-archetype,"A quick start template that provides Guava, Lombok, JUnit, Mockito, and SLF4J.",20171205Z,20190504Z
edu.byu.hbll,java-app-project,Maven archetype for standalone applications,20180126Z,20180313Z
edu.byu.hbll,java-ee-project,Maven archetype for Java EE applications,20170313Z,20180313Z
edu.byu.hbll,java-project,Maven archetype for libraries,20170307Z,20180313Z
edu.byu.hbll,java-web-project,Maven archetype for Java EE applications,20180213Z,20180313Z
edu.byu.hbll.maven,angular-archetype,Maven archetype for Angular applications with a Java backend,20180918Z,20180918Z
edu.byu.hbll.maven,application-archetype,Maven archetype for Spring Boot applications,20190114Z,20200420Z
edu.byu.hbll.maven,ee-archetype,Maven archetype for Java EE applications,20180918Z,20180918Z
edu.byu.hbll.maven,executable-archetype,Maven archetype for standalone applications,20180918Z,20200420Z
edu.byu.hbll.maven,library-archetype,Maven archetype for libraries,20180918Z,20200420Z
edu.byu.hbll.maven,microprofile-archetype,Maven archetype for Java EE applications,20180918Z,20180918Z
edu.jhu.hlt,concrete-new-project,Archetype for creating new Concrete projects.,20150612Z,20150612Z
edu.uchicago.mpcs53013,WeatherTopology-archetype,"Reads weather from kafka topic and stores latest
weather for American airports in HBase",20151128Z,20161124Z
edu.uchicago.mpcs53013,flight-topology-archetype,"Reads flights from kafka topic and updates HBase
with flight information",20151201Z,20161124Z
edu.uchicago.mpcs53013,hadoop-archetype,Create a Hadoop client application including an UberJar,20151019Z,20191007Z
edu.uchicago.mpcs53013,hadoop-thrift-archetype,"Creates program that serializes thrift students to HDFS sequence files. For an example, see hadoo-thrift-example-archetype",20161014Z,20191009Z
edu.uchicago.mpcs53013,hadoop-thrift-example-archetype,Creates an example program that serializes thrift students to HDFS sequence files,20151020Z,20191010Z
edu.uchicago.mpcs53013,hdfs-ingest-weather-archetype,"Creates an example program that reads NOAA weather and serializes
   to HDFS Thrift sequence files",20151103Z,20191015Z
edu.uchicago.mpcs53013,kafka-flight-archetype,Ingest real-time flight data from FlightAware into a Kafka topic,20151126Z,20181112Z
edu.uchicago.mpcs53013,kafka-weather-archetype,Ingest real-time weather data into a Kafka topic,20151126Z,20151126Z
edu.uchicago.mpcs53013,spark-batch-layer-archetype,Create a Spark Scala implementation of our flight-and-weather application,20191126Z,20191126Z
edu.uchicago.mpcs53013,spark-scala-archetype,"Create a Spark Scala program. Provides dependencies on Spark, Spark Streaming, Kafka, and Hive",20171105Z,20181129Z
edu.uchicago.mpcs53013,spark-scala-kafka-word-count-archetype,Create a Spark Scala streaming WordCount program that reads from Kafka,20171115Z,20181129Z
edu.uchicago.mpcs53013,spark-scala-network-word-count-archetype,Create a Spark Scala Network WordCount program similar to that included in the Spark examples,20171108Z,20171108Z
edu.uchicago.mpcs53013,spark-scala-word-count-archetype,Create a Spark Scala WordCount program similar to that in O'Reilly Learning Spark book,20171105Z,20181119Z
edu.uchicago.mpcs53013,spark-streaming-flights-archetype,Create a Spark Scala streaming program that reads flights from Kafka and looks them up in HBase,20171115Z,20181119Z
edu.uchicago.mpcs53013,speed-layer-flights-archetype,"Create a Spark Scala streaming program that reads flights from Kafka, looks up corresponding weather information and updates speed layer tables in HBase",20171122Z,20181129Z
edu.uchicago.mpcs53013,speed-layer-weather-archetype,Create a Spark Scala streaming program that reads simulated weather reports from Kafka and stores them in the latest_weather table in HBase,20171122Z,20181129Z
edu.uchicago.mpcs53013,storm-word-count-archetype,Modified version of the Word Count program at https://github.com/nathanmarz/storm-starter,20151126Z,20161118Z
edu.uchicago.mpcs53013,thrift-archetype,Example program to write thrift from local file system,20151013Z,20181014Z
edu.uchicago.mpcs53013,thrift-example-archetype,Creates an example program that serializes thrift logins,20151015Z,20181017Z
edu.uchicago.mpcs53013,word-count-archetype,Create the WordCount example from the Hadoop docs,20151020Z,20191016Z
es.ucm.fdi.grasia.faerie.archetypes,basic,Project for definition and implementation of an architecture/framework for Ambient-Assited Living systems,20120730Z,20120731Z
es.uvigo.ei.sing,aibench-archetype,,20180209Z,20180718Z
eu.clarin.weblicht,weblicht-nentities-ws-dw-archetype,An archetype for creating weblicht web services with dropwizard. This archetype provides debian and redhat packaging.,20150617Z,20161102Z
