groupId,artifactId,latest description,earliest release (real) date,latest release (real) date
com.alexanderperucci,spring-grow,Maven Archetype which can generate a secured Spring MVC Web Application (XML Configuration),20170506Z,20170506Z
com.alibaba.blink,flink-quickstart-java,,20190128Z,20200613Z
com.alibaba.blink,flink-quickstart-scala,,20190128Z,20200613Z
com.alibaba.citrus.sample,archetype-webx-quickstart,,20111028Z,20140213Z
com.almis.awe,awe-boot-archetype,This archetype generates a simple AWE web application with spring boot,20190109Z,20200709Z
com.amazon.alexa,ask-sdk-maven-plugins,Maven plugins for the ASK SDK and/or associated frameworks.,20180911Z,20180911Z
com.amazonaws,aws-java-sdk-archetype,Maven archetype for a simple AWS Java application.,20140311Z,20141016Z
com.amazonaws.serverless.archetypes,aws-serverless-jersey-archetype,,20180227Z,20200408Z
com.amazonaws.serverless.archetypes,aws-serverless-spark-archetype,,20180227Z,20200408Z
com.amazonaws.serverless.archetypes,aws-serverless-spring-archetype,,20180227Z,20200408Z
com.amazonaws.serverless.archetypes,aws-serverless-springboot-archetype,,20180227Z,20200408Z
com.amazonaws.serverless.archetypes,aws-serverless-springboot2-archetype,,20181226Z,20200408Z
com.amazonaws.serverless.archetypes,aws-serverless-struts2-archetype,,20181024Z,20200408Z
com.andrewreitz.velcro,velcro,Awesome Maven archetype for Android,20140315Z,20141105Z
com.arcbees.archetypes,gwtp-appengine-guice-archetype,GWTP Appengine Guice application,20160222Z,20160310Z
com.arcbees.archetypes,gwtp-basic-archetype,Basic GWTP application,20160222Z,20160310Z
com.astamuse,asta4d-archetype,an archetype that is automatically created from asta4d-sample.,20130516Z,20161117Z
com.atlassian.bamboo,bamboo-specs-archetype,,20170330Z,20200625Z
com.atlassian.connect,atlassian-connect-spring-boot-archetype,Provides a Maven archetype for Atlassian Connect add-ons using Spring Boot,20160518Z,20200617Z
com.atlassian.maven.archetypes,bamboo-plugin-archetype,This archetype can be used to create a new Atlassian Bamboo plugin project,20150318Z,20150318Z
